cod,fam,sp,dbh,inclin,ori,h,bark_detailed,bark_simp,Y,X,Z,orch_presence,moss_presence
237,Moraceae,Helicostylis.tovarensis,5.9,86.0,290.0,5.3,pustulas,pustulas,710851.037,9558912.583,2282.610,0,1
240,Monimiaceae,Siparuna.cascada,1.0,55.0,100.0,3.3,estriada,estriada,710850.775,9558915.082,2283.207,0,1
241,Melastomataceae,Miconia.sp5,4.9,30.0,124.0,3.5,lisa,lisa,710851.646,9558914.750,2282.607,0,1
242,Rubiaceae,Elaeagia.karstenii,1.2,90.0,0.0,2.0,lisa,lisa,710852.450,9558914.264,2282.094,0,1
243,Rubiaceae,Elaeagia.karstenii,1.2,75.0,122.0,1.9,lisa,lisa,710852.190,9558912.820,2281.609,0,1
244,Rubiaceae,Elaeagia.karstenii,2.6,60.0,120.0,2.6,lisa,lisa,710851.304,9558911.539,2282.152,0,1
245,Rubiaceae,Elaeagia.karstenii,2.9,73.0,178.0,2.5,lisa,lisa,710851.397,9558911.305,2282.033,0,1
246,Sabiaceae,Meliosma.sp2,1.5,90.0,360.0,3.5,estriada,estriada,710851.207,9558910.970,2282.021,0,1
247,Melastomataceae,Miconia.sp1,2.5,63.0,34.0,4.2,lisa,lisa,710850.301,9558913.150,2283.147,0,1
248,Arboles.muertos,arbol.muerto,1.2,0.0,v,0.0,lisa,lisa,710850.473,9558913.383,2282.920,0,1
249,Clethraceae,Clethra.revoluta,3.6,62.0,141.0,5.0,lisa,lisa,710849.224,9558913.409,2284.161,0,1
250,Cyatheaceae,Cyathea.peladensis,2.3,-8.0,194.0,0.4,estriada+cicatrices,estriada,710849.902,9558914.552,2283.740,0,1
251,Liana,Liana,1.0,58.0,150.0,6.5,estriada,estriada,710848.481,9558913.421,2284.657,0,0
252,Rubiaceae,Palicourea.angustifolia,2.0,36.0,122.0,1.2,lisa,lisa,710848.547,9558913.129,2284.512,0,1
255,Elaeocarpaceae,Sloanea.sp,2.9,0.0,264.0,3.9,lisa,lisa,710850.510,9558912.577,2283.157,0,1
259,Rubiaceae,Elaeagia.karstenii,8.6,85.0,162.0,7.7,lisa,lisa,710847.802,9558912.963,2285.022,0,1
261,Indeterminadas,Indeterminada,1.0,90.0,0.0,1.0,lisa,lisa,710847.015,9558911.776,2284.758,0,1
262,Rubiaceae,Elaeagia.karstenii,1.0,90.0,360.0,2.0,estriada,estriada,710849.825,9558911.489,2283.897,0,1
263,Melastomataceae,Miconia.sp1,6.7,49.0,310.0,4.3,estriada,estriada,710848.177,9558911.442,2284.449,0,1
